price,duration,wait_time
18.72,31.02,1.9
24.11,36.97,3.41
20.09,30.83,1.63
17.98,25.95,1.5
13.02,16.19,2.91
16.49,26.73,2.68
17.55,24.73,1.51
13.94,16.5,4.23
13.6,19.9,2.15
26.51,43.98,9.01
16.19,21.04,2.4
25.68,43.6,5.44
16.26,23.81,7.51
24.03,37.78,2.53
16.96,24.98,5.36
16.35,25.28,3.3
20.7,28.39,6.67
19.53,29.76,4.34
16.4,21.83,2.5
25.79,43.46,11.54
19.45,29.52,3.42
21.65,34.06,2.39
13.15,13,5.71
20.35,29.43,7.24
29.14,50.35,9.05
25.69,40.05,5.18
15.68,25.17,9.47
10.85,11.45,3.71
28.55,50.68,2.03
21.92,35.62,3.37
15.28,22.26,4
15.08,21.5,2.35
20.92,33.99,3.29
20.75,32.15,10.17
27.46,47.68,3.73
19.71,32.86,9.83
18.54,28.23,3.5
11.49,10.87,2.94
19.79,27.1,2.15
16.33,23.96,5.08
14.88,17.68,3.27
18.04,25.45,4.82
27.45,47.69,7.43
18.08,26.75,3.48
10.53,10.3,5.96
20.71,28.59,3.27
23.23,36.76,3.95
20.82,33.82,3.54
22.83,41.52,2.14
18.7,29.07,7.15
16.13,22.2,2
17.4,24.25,2.62
28.28,52.77,3.52
22.81,33.13,2.37
14.42,19.33,3.62
18.72,31.36,2.66
17.73,26.63,1.85
8.79,10.21,1.9
17.02,26.22,4.34
20.77,33.21,5.87
17.2,21.98,4.89
12.14,15.72,7.83
16.48,26.88,3
20.83,31.16,1.57
24.82,37.23,5.88
21.77,34.87,3.78
16.41,27.51,9.37
18.88,28.7,7.38
16.83,24.5,2.91
14.42,12.97,4.58
20.6,32.29,9.5
21.45,32.91,1.71
21.96,38.04,3.69
25.45,43.88,3.35
19.45,31.6,9.11
9.9,10.09,8.83
21.5,34.62,3.51
16.91,22.56,10.69
18.68,26.78,4.63
27.79,49.53,4.39
13.79,21.32,2.79
18.79,28.7,2.1
19.7,33.59,3.5
18.47,29.83,3.83
17.76,27.28,3.61
24.69,39.08,5.41
19.72,31.39,2.81
19.69,30.82,1.68
20.31,29.42,3.73
21.88,37.58,5.83
19.17,31.15,1.65
20.5,29.72,2.04
11.13,13.64,3.45
23.72,41.66,7.52
33.28,59,3.62
20.65,31,2.26
16.33,24.76,7.89
14.74,20.39,5.58
14.79,19.77,3.59
17.98,27.24,6.69
