price,duration,wait_time
18.22,29.01,8.03
15.42,23.1,3.96
17.77,25.21,2.38
13.61,13.45,5.38
25.77,44.98,2.14
18.02,26.01,3.59
18.35,25.91,1.61
15.7,21.61,3.92
16.72,26.15,9.71
23.21,35.02,4.06
18.8,25.85,15.14
21.66,36.4,3
13.6,18.95,3.44
19.42,30.17,2.86
22.93,35.59,6.17
8.22,5.29,2.58
16.84,26.03,1.75
18.49,24.39,2.3
22.86,36.6,2.82
20.02,29.93,9.73
20.47,29.93,3.34
24.93,46.57,7.26
22.99,36.83,1.89
17.93,30.91,2.1
18.54,31.85,8.35
16.5,20.18,2.18
20.47,35.45,2.92
21.71,35.75,1.58
17.67,23.42,5.19
14.8,21.42,5.1
26.78,46.18,4.79
27.68,49.52,1.78
23.57,39.42,3.84
21.75,32.54,11.82
27.32,44.88,9.41
21.58,30.85,3.69
20.88,32.1,5.08
21.75,33.27,5.59
18.34,27.04,12.33
12.19,14.83,2.33
24.37,41.81,2.44
26.16,43.89,2.88
22.02,33.88,3.21
14.78,20.51,2.29
17,20.44,2.6
17.25,22.36,1.52
28.14,47.36,4.36
24.01,44.21,7.86
20.43,32.68,5.67
25.13,46.13,4.15
17.94,27.75,1.6
24.85,39.87,5.18
21.33,34.66,4.9
19.58,28.73,3
10.78,9.74,4.94
24.57,42.93,3.91
14.75,21.59,7.25
19.22,31.53,2.65
16.52,26.18,7.23
18.84,25.81,10.27
17.25,27.96,2.47
18.47,29.83,3.83
18.07,26.65,3.69
12.97,13.52,5.89
17.91,28.07,4.53
24.68,37.48,3.91
18.57,33.42,5.85
19.99,27.87,7.69
18.59,32.44,3.84
13.87,19.26,6.05
19.37,24.77,1.78
27.48,46.16,4.63
21.22,33.97,4.14
22.5,39.03,4.16
22.22,37.44,1.52
14.03,17.58,2.04
8,5.09,3.08
28.15,46.57,1.86
17.27,25.16,2.22
11.08,10.05,2.71
21.62,33.04,3.81
23.72,41.33,7.6
13.55,15.46,3.67
16.39,20.81,1.69
20.45,31.61,8.82
5.76,3.18,2.07
23.87,36.36,1.85
23.51,34.94,2.87
22.97,36.51,1.71
21.78,34.74,3.95
21.81,33.63,3.06
25.82,41.73,4.82
30.5,56.33,10.29
22.31,34.54,8.52
23.92,39.78,4.11
14.81,18.02,9.7
10.45,5.31,5.33
18.55,26.54,2.84
17.26,20.92,5.03
20.21,33.12,8.31
