price,duration,wait_time
22.83,32.61,1.89
14.96,20.65,3.86
22.58,36.7,2.91
20.12,31.12,5.09
10,12.04,14.41
22.57,37.91,14.98
24.32,41.02,4.98
22.54,36.36,8.8
22.55,39.03,10.34
17.36,24.86,3.99
20.66,34.48,5.15
20.76,34.99,1.9
13.35,18.85,3.44
25.1,45.01,3.16
24.1,42.14,6.19
21.52,31.2,2.47
18.96,27.27,1.9
19.87,33.01,2.98
24.47,37.21,1.79
27.29,45.9,6.15
13.84,16.56,6.3
18.18,22.75,13.75
16.72,25.16,9.43
29.56,56.92,2.15
22.35,36.77,5.63
21.44,37.89,10.56
14.81,17.57,3.22
26.47,45.13,18.01
20.95,34.63,11.23
19.73,36.21,2.79
18.48,31.25,1.7
16.09,24.3,5.27
20.46,32.65,1.84
20.07,27.95,2.3
19.96,30.86,9.46
16.4,23.86,1.5
22.8,39.14,3.36
22.49,35.15,5.81
14.75,19.35,2.7
17.65,29.9,2.52
19.01,26.12,1.75
15.91,23.18,1.67
17.17,22.08,2.89
13.99,14.48,2.4
17.56,23.54,2.79
12.66,14.55,13.8
24.13,36.58,2.29
21.66,31.91,2.67
21.45,36.2,7.66
17.11,25.79,2.39
20.13,34.08,2.96
27.88,44.6,5.5
15.37,23.27,5.86
24.33,38.1,3.09
22.87,34.84,5.34
16.59,24.12,1.57
20.33,29.42,3.52
12.68,14.82,6.35
18.92,30.1,9.66
23.89,40.47,5.28
15,24.35,3.72
24.79,43.83,3.2
15.47,21.83,7.55
21.83,36.37,2.35
25.39,42.86,1.54
16.33,24.25,3.24
24.45,40.32,3.19
20.72,30.52,5.26
20.96,34.56,2.84
24.97,42.97,7.03
22.67,35.59,5.65
18.2,25.84,6.64
23.41,36.48,5.95
22.48,35.55,1.69
17.7,25.34,3.19
21.88,34.5,2.56
15.13,19.2,2.69
27.03,45.21,4.88
23.31,37.09,2.99
16.91,23.51,8.12
12.04,15.69,6.51
16.76,24.96,2.69
18.38,32.24,2.9
14.59,17.76,3.68
15.26,23.01,1.82
20.36,32.28,3.72
21.35,35.06,4.19
24.25,40.19,3.31
17.81,27.54,1.89
23.32,38.69,2.36
18.95,26.15,1.85
18.44,24.68,1.66
10.81,10.26,5.02
21.68,32.64,2.94
21.83,35.84,3.02
27.57,46.24,4.89
23.73,38.47,1.77
21.89,34.18,15.33
23.2,34.57,2.58
24.16,40.24,2.37
