price,duration,wait_time
27.45,47.26,4.64
22.01,36.29,1.66
15.66,20.31,4.66
28.67,47.33,3.27
14.09,16.29,2.92
18.63,29.13,6.21
22.79,38.33,9.17
21.67,33.59,2.9
24.11,40.21,4.24
21.99,37.46,3.62
17.03,26.63,3.37
20.09,29.25,4.32
17.46,24.47,12.29
24.53,40.62,2.43
15.03,22.31,4.5
10.94,11.83,7.75
13.44,19.86,3.35
11.03,13.01,2.28
13.32,15.56,8.32
20.34,33.55,2.13
17.58,25.86,4.92
12.72,14.57,2.5
13.68,19.88,3.79
16.2,22.26,3.23
17.91,28.5,12.38
11.09,8.25,11.87
21.26,35.28,4.08
23.31,37.29,2.96
23.88,35.13,10.91
15.29,23.56,3.66
16.46,23.71,8.02
20.24,29.88,3.52
14.94,23.26,21.77
16.72,22.04,1.68
18.16,24.91,3.31
17.3,25.73,4.44
13.53,15.2,3.69
20.19,32.47,3.2
22.34,35.33,3.56
21.24,38.31,10.15
18.24,30.17,10.13
27.27,43.45,7.44
20.8,34.02,2.07
21.41,35.58,1.91
20.65,32.49,7.86
24.71,39.02,6.82
20.53,31.4,4.56
16.52,22.55,2.02
10.05,11.09,1.73
20.29,30.37,4.22
16.22,21.08,4.78
19.11,29.42,8.42
14.2,17.45,2.95
19.27,29.72,2.8
20.11,32.43,1.81
17.99,28.03,2.42
23.22,34.07,3.27
19.46,30.69,8.85
23.69,42.3,1.8
22.66,35.08,1.76
20.87,34.43,2.03
18.35,28.29,2.79
22,33.87,3.19
18.94,29.7,2.91
18.8,26.93,5.36
17.17,23.24,12.25
19.43,28.95,3.55
18.97,32.62,4.49
14.42,17.46,7.29
18.44,29.61,3.47
19.14,30.56,2.79
20.12,32.59,3.16
23.22,36.88,1.7
16.36,24.68,6.99
21.17,35.73,2.97
18.87,28.74,1.63
17.34,29.87,5.47
20.7,29.13,3.21
12.32,11.85,4.62
16.7,23.01,2.67
25.23,43.68,4.32
15.14,19.3,5.97
21.7,35.51,5.56
19.87,28.81,3.89
25.73,43.8,3.6
23.94,38.94,6.61
21.42,34.33,6.09
22.88,35.97,7.86
27.45,48.89,3.7
22.54,34.39,5.69
17.67,22.34,5.18
18.96,30.78,6.23
17.34,23.97,2.76
24.65,41.15,1.59
17.44,21.7,3.31
21.62,39.06,3.51
22.52,34.44,1.61
12.6,14.6,2.26
17.77,26.51,4.33
17.93,24.81,2.71
