price,duration,wait_time
21.17,32.13,3.58
18.73,31.23,2.63
27.38,47.58,2.05
24.95,43.22,1.61
19.4,26.36,1.92
16.49,22.13,1.76
17.79,26.04,2.7
14.68,18.75,2.05
18.61,29.13,4.08
17.96,27.52,7.32
14.89,17.27,2.26
23.75,44.66,7.14
19.77,29.96,4.03
17.65,24.72,3.7
23.21,35.84,2.01
32.99,61.51,4.79
16.2,26.04,9.81
16.9,25.02,3.07
23.33,38.27,3.71
28.15,49.85,6.37
17.86,26.52,4.05
15.93,23.08,12.31
23.41,36.96,4.3
15.57,21.32,13.72
15.95,24.9,7.4
19.75,28.2,2.21
22,30.8,1.97
22.82,38.69,1.69
21.74,30.14,6.76
13.61,21.46,5.21
16.38,23.97,4.67
12.51,14.46,5.8
14.61,20.53,2.44
17.91,25.68,2.64
20.42,30.21,1.61
15.85,22.94,1.61
18.48,29.95,3.72
16.69,22.12,2.15
12.51,18.17,3.24
19.58,26.18,2.5
24.97,45.52,3.02
32.74,60.73,5.82
22.79,39.16,6.44
15.19,23.19,1.88
20.02,32.31,3.43
21.47,37.37,3.03
15.35,20.77,1.7
23.94,35.78,2.8
28.84,54.3,1.7
27.52,46.69,4.41
13.23,18.19,1.85
25.74,46.66,2.1
19.38,31.44,2.65
22.81,36,1.73
22.75,36.84,3.45
25.44,43.15,3.53
30.96,55.75,6.16
20.26,30.02,1.81
14.32,22.59,9.06
28.46,48.58,11.06
21.9,35.15,5.12
24.39,38.89,1.72
15.45,19.64,1.53
19.13,31.13,1.7
16.82,25.45,1.61
22.77,37.51,3.28
24.4,39.79,12.74
20.11,32,5.35
17.17,23.92,4.06
18.53,26.93,2.52
22.13,34.6,1.91
11.73,12.15,4.3
17.35,28.24,2.7
26.35,42.59,1.71
24.69,43.71,11.2
18.14,29.53,7.59
18.95,26.95,13.38
19.67,28.85,2.04
18.75,29.45,1.79
17.69,23.54,2.67
14.62,20.31,18.9
16.47,21.79,5.31
10.87,14.21,2.37
18.92,26.15,7.47
26.73,42.01,2.05
21.3,36.84,3.83
19.53,31.9,2.36
29.39,52.33,4.9
23.25,38.48,4.71
24.78,42.53,3.6
18.64,32.83,4.5
19.48,29.58,2.33
19.65,32.15,4.34
15.63,19.37,2.73
17.94,27.2,2.19
19.2,33.17,3.51
23.2,38.95,1.99
16.03,20.26,1.73
20.3,33.5,4.94
21.76,35.87,3.02
