price,duration,wait_time
12.52,14.06,2.75
15.45,23.17,2.07
18.12,25.83,2.41
23.51,38.27,14.86
14.94,21.49,5.55
18.36,28.22,6.98
17.14,24.7,2.37
20.93,32.23,9.24
9.99,11.68,6.76
33.48,63.06,3.78
22.47,35.37,7.23
24.92,42.7,3.79
21.28,36.18,1.86
23.13,33.16,9.29
21.71,34.23,7.89
19.89,33.11,2.97
16.64,25.67,11.81
13.73,16.18,2.77
17.16,21.91,9.8
23.3,39.33,2.13
14,19.35,3.15
23.35,42.86,2.39
22.56,37.24,2.8
19.83,33.69,3.19
10.32,13.32,5.72
18.15,26.02,9.79
19.79,27.1,2.15
24.43,39.53,4.59
18.1,29.63,5.34
20.79,31.9,7.27
20.16,31.56,7.15
12.97,14.96,1.9
13.1,15.3,2.33
14.57,16.85,7.94
15.83,22.27,1.51
22.69,37.46,1.77
17.41,27.88,1.57
15.87,25.28,2.81
19.32,29.18,6.11
20.02,30.7,4.76
15.98,24.61,15.69
18.84,27.06,3.5
22.46,38.61,13.02
27.66,50.32,3.58
14.88,21.43,2.98
28.3,47.71,7.46
19.76,32.45,4.1
19.29,31.37,2.68
20.66,32.63,12.37
16.61,22.87,3.39
14.31,21.22,2.14
20.11,27.23,1.9
23.86,38.71,3.78
32.1,54.71,5.73
16.59,20.88,4.64
24.86,35.39,2.93
19.63,31.46,5.61
26.93,46.79,3.09
26.03,41.46,13.54
25.26,42.11,3.36
18.53,27.82,3.04
23.88,40.9,2.48
26.12,44.42,5.91
18.14,25.64,2.44
18.64,27.8,10.23
19.26,32.93,2.05
16.87,24.02,6.42
19.42,27.21,3.75
18.41,29.44,4.49
14.61,21.75,2.11
18.51,28.2,4.53
15.4,26.14,2.65
23.39,37.16,2.18
18.7,29.39,2.63
26.4,44.54,3.86
20.32,31.04,4.97
17.19,24.85,2.79
16.53,22.29,2.44
18.62,31.17,2.39
17.92,25.91,2.77
23.75,37.91,1.66
20.25,32.35,2.74
18.2,27.17,2.13
21.89,33.34,4.03
21.55,33.33,2.61
22.4,38.85,7.03
29.3,52.32,1.94
22.37,33.7,4.83
26.95,48.74,2.42
13.18,17.09,2.49
21.37,35.24,2.04
24.98,45.22,2.62
25.02,41.58,4.55
16.5,23.09,1.81
21.31,34.39,4.29
17.63,25.22,3.09
21.92,36.68,1.96
21.41,32.86,4.57
13.75,21.97,5.88
27.36,46.32,3.63
