price,duration,wait_time
31.25,56.34,6.98
16.15,19.63,9.63
28.09,49.35,9.11
18.36,26.75,4.14
18.9,25.3,5.34
19.97,28.6,1.7
13.69,17.52,4.46
19.93,28.35,3.49
21.48,32.56,1.84
20.73,31.32,3.92
30.67,53.19,3.57
13.66,16.99,4.27
22.25,37.18,2.55
20.08,30.3,4.58
25.82,43.91,2.58
15.95,24.41,6.02
18.48,28.47,2.04
16.94,24.85,4.82
10.53,8.86,2.29
17.81,24.37,7.18
24.6,41.92,1.98
22.11,34.82,1.87
27.5,49.89,8.24
21.05,31.55,5.52
21.96,38.14,1.51
10.1,9.61,2.49
20.97,32.33,3.44
27.74,46.85,4.16
21.26,34.91,6.03
20.33,33.59,3.27
11.97,13,6.74
22.14,35.4,5.33
21.07,34.1,2.24
19.1,22.51,3.42
20.37,32.8,1.62
23.62,35.01,8.83
20.05,34.35,7.53
12.2,15.28,1.86
18.32,30.5,5.36
21.55,34.12,5.39
19.19,30.35,2.39
13.8,17.58,1.53
28.3,49.16,2.32
25.54,44.13,3.52
18.46,27.08,6.87
18.56,25.95,3.21
14.96,24.85,3.28
19.99,33.91,1.58
12.66,15.76,2.57
23.74,39.38,4.24
12.66,12.98,3.02
23.06,38.08,1.79
22.63,37.88,3.34
16.01,22.69,1.55
11.77,13.21,5.51
29.14,48.11,2.71
24.89,38.07,10.42
15.28,22.6,1.57
17.38,28.74,1.78
19.82,32.16,3.76
21.71,34.42,1.62
27.04,47.44,4.12
17.27,24.13,3.22
10.86,7.47,2.74
18.57,26.33,7.32
18.59,26.94,1.95
9.52,10.29,3.04
17.65,26.12,5.34
19.43,30.56,3.02
21.16,31.73,6.41
20.32,31.04,4.97
20.97,33.94,5.23
25.04,42.57,1.86
15.77,20.87,3.67
20.9,31.65,2.9
18.78,30,2.91
14.61,22.88,9.54
8.56,6.33,4.6
20.99,32.71,6.4
23.3,39.97,2.99
19.3,29.89,3.57
16.9,22.16,6.55
17.22,26.05,2.74
21.73,31.89,3.45
19.64,26.44,7.89
15.16,18.9,10.61
19.35,28.55,5.43
13.59,22.64,4.27
25.76,45.5,3.81
20.84,29.87,1.89
27.84,48.72,2.84
15.73,24.02,13.38
26.73,44.47,11.69
22.75,39.57,2.91
14.08,15.07,1.78
18.07,25.73,8.58
14.99,18.3,5.88
22.15,32.94,3.94
20.36,32.61,1.53
25.4,40.02,2.81
