price,duration,wait_time
18.75,30.81,8.26
19.43,28.58,3.93
31.74,58.94,2.11
20.4,25.98,9.55
16.61,24.86,3.07
9.84,6.69,1.67
23.16,35.45,8.09
16.72,25.24,2.37
21.24,36.14,9.78
27.99,45.7,3.12
23.67,35.9,3.99
25.16,42.28,5.05
22.96,34.42,2.22
21.49,34.13,1.55
18.96,29.9,2.45
22.94,35.49,3.93
21.05,29.31,8.32
13.13,16.3,4.59
20.74,32.86,1.93
14.63,18.47,3.92
16.79,24.49,2.72
20.56,28.65,2.85
25.4,41.07,2.47
18.32,30.59,8.65
15.92,20.54,2.72
15.07,21.19,3.36
27.28,44.51,3.19
7.71,4.16,2.61
20.34,31.38,12.13
26.03,42.86,4.29
22.35,31.52,9.88
22.61,34.49,4.37
18.98,27.88,7.23
22.96,39.45,2.98
20.92,35.28,9.26
23.77,37.55,3.63
16.51,25.07,5.03
19.22,30.57,8.59
18.69,26.65,2.37
13.83,20.38,11.8
24.91,42.49,8.65
23.08,34.47,2.64
26.17,44.69,2.18
18.98,27.65,15.63
15.09,23.67,4.42
22.95,36.9,4.22
16.13,22.03,3.89
15.73,22.77,2.96
25.14,42.41,3.42
18.61,31.11,1.56
21.7,35.01,2.7
30.14,50.57,1.65
18.59,32.01,3.65
22.88,39.66,6.45
23.77,37.51,1.96
15.87,23.77,4.72
24.98,43.16,7.85
10.56,9.55,1.59
19.9,35.31,1.89
12.79,15.09,3.34
15.85,25.93,4.24
22.86,35.61,1.53
16.1,24.76,5.58
24.05,39.41,15.63
23.32,37.98,2.62
18.23,29.45,1.8
27.12,47,4.45
18.67,27.66,2.31
24.75,40.86,15.36
20.91,31.2,2.79
24.34,42.16,3.1
14.09,21.49,2.81
12.79,18.62,4.71
27.41,49.45,7.71
18.8,29.51,4.56
30.35,51.98,1.93
27.36,48.1,5.91
23.43,40.37,2.52
27.75,49.65,3.23
21.42,35.45,3.14
13.05,17.34,5.73
15.41,22.63,5.17
18.49,31.15,1.73
23.94,43.31,5.72
20.08,29.08,11.99
22.44,37.28,12.3
16.59,19.92,3.06
23.92,38.55,4.97
23.19,39.76,5.95
20.33,30.99,4.76
16.67,23.97,1.7
15.34,16.71,4.31
22.07,33.92,4.16
17.07,25.5,2.65
26.92,45.67,1.74
21.21,35.34,2.1
19.45,33.94,2.44
23.05,40.86,2.51
16.22,26.2,2.82
23.91,38.16,10.66
