price,duration,wait_time
12.42,13.42,3.22
20.86,33.7,6.11
12.91,19.7,2.38
21,28.16,5.36
22.34,36.55,2.11
16.21,21.33,3.98
18.01,26.54,5.39
18.01,26.27,4.86
15.02,21.44,10.75
21.05,33.46,2.63
17.39,30.34,2.49
10.17,5.14,1.63
16.15,27.36,8
16.36,21.79,4.34
14.51,20.17,4.83
22.17,35.34,1.64
18.65,28.35,2.95
24.41,41.99,4.71
24.43,42.19,4
23.55,41.25,3.32
16.89,25.63,2.83
15.68,21.08,7.56
21.46,31.3,2.86
19.94,27.29,1.84
14.62,20.31,18.9
19.53,30.62,6.55
17.92,31.53,3.01
31.74,56.04,4.17
27,44.21,2.9
17.61,25.38,4.49
21.53,29.02,4.01
19.91,31.22,5.97
22.06,37.83,7
21.95,33.14,3.68
17.27,30.72,3.97
15.76,22.68,10.62
13.75,16.54,6.01
21.24,35.38,3.18
20.54,34.39,2.32
11.55,16.74,2.69
18.56,28.57,3.26
17.03,24.51,5.22
25.95,43.61,4.71
16.04,22.11,4.15
14.42,21.67,4.61
13.41,17.28,9.8
28.81,52.91,1.58
18.62,24.24,4.57
19.24,29.26,4.56
24.57,41.97,4.27
13.19,19.92,3.93
16.44,22.73,11.08
18.53,28.34,3.23
18.61,27.62,2.54
12.97,16.26,1.53
21.39,30.07,8.18
20.21,30.93,2.38
20.93,32.46,5.63
22.79,40.26,10.01
22.54,38.8,2.3
28.82,50.38,2.24
9.99,8.2,2.42
23.83,38.47,8.84
22.57,36.48,12.04
17.09,28.94,3.52
24.13,40.9,2.81
21.47,36.5,3.3
21.09,36.57,15.51
12.02,14.27,7.41
21.25,29.2,6.29
24.63,38.8,3.71
26.31,42.74,8.21
14.96,22.39,1.55
26.29,47.14,6.8
11.76,12.44,5
22,33.06,2.91
26.71,48.9,1.61
16.9,24.5,2.98
14.33,21.25,1.64
19.64,30.08,4.58
19.59,31.02,1.69
18.13,28.62,3.31
25.31,43.82,2.71
19.11,26.85,3.55
21.19,33.67,3.99
22.16,35.89,9.12
26.96,41.12,1.83
19.85,31,4.11
24.82,42.46,7.11
13.02,15.03,2.26
25.71,45.26,2.81
21.43,36.72,3.03
20.11,29.75,2.36
11.68,14.75,7.74
8.14,8.22,2.97
19.45,29.14,5.32
25.94,43.34,6.54
20.29,37.34,3.46
17.37,27.49,4.22
28.02,47.02,9.3
