price,duration,wait_time
23.1,37.73,4.85
19.42,29.07,2.9
25.81,43.64,8.54
22.46,36.02,5.55
17.16,23.44,4.27
28.53,52.72,1.75
23.55,35.86,2.44
15.78,22.55,7.72
25.6,41.61,1.86
15.48,19.58,3.44
16.98,26.89,4.93
21.75,36.95,1.63
9.44,10.18,2.47
15.06,27.37,1.52
20.17,33.68,4.86
16.33,23.97,3.59
24.71,42.84,7.65
9.66,10.35,1.84
14.54,12.58,1.62
22.83,37.72,1.94
24.05,39.63,5.01
20.21,31.08,11.75
26.7,44.95,3.03
26.4,47.4,1.78
15.17,18.4,1.93
16.38,18.95,1.82
21.85,31.1,4.47
20.1,29.36,2.31
23.03,40.91,9.2
21.84,36.93,5.4
13.72,17.52,9.3
13.58,18.03,6.08
15.6,21.92,5.01
17.7,23.69,3.45
10.96,9.3,8.93
24.36,42.16,1.86
22.94,34.46,2.23
27.8,47.45,3.27
21.3,33.35,3.16
23.07,33.98,5.09
14.58,16.87,14.48
31.77,58.33,2.84
20.41,30.9,5.27
16.69,29.09,4.34
26.19,44.64,7.88
17.11,24.01,7.57
24.14,38.73,2.53
16.95,25.14,5.34
18.69,26.65,2.37
22.2,35.03,1.85
16.87,25.61,2.25
18.3,32.97,1.84
21.59,38.2,6.71
18.35,29.68,3.25
23.04,36.85,1.55
22.55,37.9,2.71
23.15,37.11,6.37
14.21,17.13,6.65
19.23,30.73,6.8
21.92,30.71,9.46
28.43,49.62,3.5
21.48,35.19,19.53
14.65,20.15,2.26
21.95,38.44,3.95
25.73,42.08,4.1
9.17,10.32,3.47
23.48,38.17,4.18
24.88,41.01,2.75
14.67,21.78,4.38
20.93,33.2,3.08
17.87,26.29,7.19
14.83,21.76,5.73
15.49,20,1.95
20.62,30.88,1.62
10.13,9.75,2.99
14.19,17.9,3.96
17.59,27.16,7.91
21.6,36.54,1.51
16.9,21.15,3.04
27.35,48.96,8.32
19.69,31.77,2.31
17.44,30.41,4.69
12.45,16.78,5.15
15.89,23.93,2.51
20.47,35.47,3.73
21.63,36.31,5.67
15.53,16.43,1.59
23.51,35.45,2.29
18.46,28.62,1.96
12.15,14.4,1.73
23.51,37.49,3.74
15.48,22.13,2.73
21.73,32.34,3.69
28.86,51.09,2.7
19.22,31.01,4.29
21.53,33.81,1.89
22.24,33.62,3.19
23.58,37.63,1.9
14.85,17.88,5.2
22.39,36.94,7.73
