price,duration,wait_time
15.89,22.41,10.76
18.77,28.37,3.14
17.95,24.28,4.97
15.49,20.26,7.36
24.72,40.74,3.72
16.03,18.86,3.48
17.65,25.7,2.2
25.86,43.62,2.03
13.44,19.94,3.21
22.7,36.06,4.77
26.22,41.65,2.11
28.58,50.07,5.31
12.87,14.84,2.11
14.28,19.84,3.65
19.2,29.63,4.45
26.53,49.21,2.51
27.22,48.06,2.82
16.01,23.41,4.47
10.51,11.47,5.79
24.1,39.54,6.85
20.92,38.05,2.26
26.15,43.64,3.02
10.08,9.8,6.99
31.63,55.33,3.07
17.09,24.06,5.04
20.08,29.22,6.03
24.08,39.77,1.67
19.27,30.85,3.67
21.96,36.11,2.29
15.22,21.54,2.18
8.77,6.17,5.36
19.01,27.48,1.79
18.69,29.91,3.2
25.44,42.29,4.09
20.67,32.01,4.69
15.22,21.48,4.67
9.17,9.56,4.43
20.41,33.26,3.23
18.36,27.22,8.88
19.04,28.8,2.34
13,14.03,19.27
15.59,20.64,5.48
20.58,29.45,13.83
16.74,23.21,3.04
12.1,17.47,4.92
16.4,26.39,2.13
21.59,33.13,5.43
19.17,28.32,5.8
19.38,26.76,3.16
21.98,37.69,13.81
19.29,30.01,4.66
14.98,17.16,1.93
16.72,25.94,1.86
22.02,33.13,11.14
22.39,33.73,1.61
19.74,29.47,7.24
28.65,48.4,1.53
12.62,19.01,7.49
12.51,22.11,2.22
22.61,36.51,8.56
18.19,23.33,5.94
15.95,25.48,1.82
25.39,44.39,2.35
22.29,38.92,5.22
21.54,28.58,3.17
18.79,33.93,4.6
20.77,36.14,2.98
25.71,42.55,15.46
21.44,33.51,1.57
21.69,34.12,2.43
19.7,32.32,3.27
13.35,22.17,2.09
18.24,27.09,3.97
21.22,38.47,3.58
26.16,46.88,12.14
25.92,40.31,4.5
21.93,34.26,2.48
19.05,32.42,14.54
18.47,27.77,2.78
23.76,40.12,2.13
22.92,35.48,2.48
20.24,33.69,4.88
21.54,32.56,2.68
14.1,21.18,1.52
12.39,16.11,2.83
17.07,24.35,4.62
24.03,40.03,1.98
22.19,35.33,11.46
12.74,15.36,1.66
21.87,30.81,3.5
30.16,51.39,3.94
31.55,56.63,1.97
28.04,42.9,4.63
19.2,31.89,4.97
17.33,24.54,2.29
12.97,13.64,3.32
23.85,38.49,2.41
16.56,23.8,2.56
11.5,13.7,6.41
26.58,49.74,4.43
